Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f861c8ffdda6e39d8c7e571e9420788fd6384e81d5088a165b0a7a32665bed53,2016-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given penalty notice
36d599bd1e1cbbadb7716c57fc75a2370af5632c9621000bf3f5bf48f718631b,2016-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
c0a2efdb20149adaf74bdeabdd4e234068965beb941d18e1e484ff75380d00cf,2016-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
0848679a6efbfcb88d029a5773b46f2df5f127e233a795a432856bed03dccdd1,2016-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
319acf129492d31aca5f53a2568fe87d253f6862bcdced3d53a6b04bb8c4c635,2016-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
30dabda0c395864257f7c5c84c45cd77f4b40320a5c3143e60f5f57885354ba9,2016-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
ca1f552a80667f3e3a5f04327cb9f4a96bb89fd0b7a2beb859e3d86207abfc8e,2016-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
80f1b9431c5618ea92d674ae00d8e3456495c74e65b7a8db65131341240f6be4,2016-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
a36b5c5ce3a23f5ae0b2f8c69582799c360354902303971cab3379a6195f9f43,2016-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
887574970d9f92b3e6f72a8008279cc0abe6117e4f66a04e4e04ec848c0a13c4,2016-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
0cfd0e799cace0a43b0126280e58d1725187e9cf19c171714f9ff0399fd30a7e,2016-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
a76ccb142ab78af256c343bfa6817c51a3e3f313a09c9de9fe071161a58e34b6,2016-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
1b6431761cdac6647154a25e20a5b2eb5a8dcc3244708827dd2281e0436d231b,2016-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
1a1fa1f729cb31ecb3881d4e1d4c5537e6aa5351346c50843c7d6e8bc123badb,2016-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
a349471b2e7b5e3e3fb60b4a23c2344337dba14989dd0d23a4cb547247970d36,2016-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
