Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c098a0c0deadbe79b4d3a81ff31ace59415ef9114f69c2a779c3436a19c45ffc,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Court case unable to proceed
9ddde44c7c29ca585e6dff684b1d189a46bdbcdb00d43a1f9461fa631c7e129c,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given suspended prison sentence
30128a5c150953e067828efcfb482a4ef7b7a64bfe808bc12b36af03e0f7065d,2016-03,South Yorkshire Police,South Yorkshire Police,-1.471205,53.380677,On or near POOL SQUARE,E01033265,Sheffield 074C,Offender sent to prison
61d0bd81ff0300a71eefc91ef0c5aeb5c7710ab9b295026df1430efe6a7fdbeb,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given a caution
88f772263979dcf68f1277f6fae6fe8251d77dc8f6098b7f79161698a4caaa35,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given a caution
d96a8671d5513fdabf8fba5d999a9cfe81248d637264346faaa9d821821105e6,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given a caution
2180eda52d00a790fdfed28a78f2fbd30116b3592f4bae93aca0ed1dd55f620c,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given a caution
c5e041ef646921412984f004ccba53f7503fc5b46b2ee1f6c4970c2919d99e9b,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given a caution
4a38eac5b4670240cae71d511de3b1c338cb6e2d89bc4ac0d7fe171b5ff993ae,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given penalty notice
0596d7be91aba2442df750f836f503fb29204ef2e0ce4a507ecb5e702600f4dc,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given penalty notice
36b524763bc3ce2d80846965c23ddb8faae5b2e8a9a5b2e521892ab07efe4dc0,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given a drugs possession warning
df756443164aff247c0b631084c43d60b69cd25e9dc9cb091f9e0c42a4a97949,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given a drugs possession warning
673ca67fe0a4c97eaa39c30337c650b87733008a10e57cf8f97286caaa34201d,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
260d0d9735e020ae903479fe762c972b215eadfebc733420e238feccec31e1eb,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
2375d9b16653ae24b4c0130e3ada86d1f43d917b34f4d3fc6d2f1b00c73ddf65,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
b20270e84229b1eb34ee2a6616c4f7bdd4e15f523388a8e36042f075e5c373c3,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
3ca2c5509050bcd6718cd0bfbbc7f87f973c777ffa55a8bab55d3e558a428c95,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
a69aaf6bfd7df3eaec4f0a49340448aa1a31d31db46159cb517020b54c54dee5,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
7c7259ec9d65c9bacdc25eb8914da1b8781e622783979b34c510cb597faf61c3,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
e262e34d992ef27aaf42ab0048b06cb3ff28efa03e862285682f1d1f1e430ff3,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
33a45a1d51d61922783028a12a4a15ee40e978889515a8c521ad5824f75ac198,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
081f53321b5794c5fd60618204895c3e16a9a01050bc0eb3821f5a7ac6e9ab3a,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
1584e264d2dd3281d09f8a9b03048d5166c7a10b1ed0ac7e0d7b89b70e18d152,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
857f2bcac02de5eca0fa58b1e11fb7402a58d606547181e2b20f73707396b70d,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
e262e34d992ef27aaf42ab0048b06cb3ff28efa03e862285682f1d1f1e430ff3,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
7b1f68f379573f13900215bcc9902b9f20d8ab75470033df30e870530915febd,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
dad8f178162eb4e6a65eb40abc8d089ac058438ef49e6a65527dded3e614f8e1,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
99628dc1c38a2677f1f3762acb0ab1fa92ff23d8e21058c2e03e041d29cc60e2,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
8a910c8285188704ba1364a7c5f6b6df72bf0c57279d4544b98c025ccf50dc0c,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
d419a32ad6487400f7f538ccf14dd6323cb6b59dceb64dd506d34930eea00151,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
be34ed59faf5fcaaea0a6b3f166611c984e5240d37e3e182dac7ad253a6d3aeb,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
4c1e074b69951084498427af07f2be797e5fbf06235ef34ddddc7b20f1adab36,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
ab7750a4f13ed8e9de3051575e6074623d403a1ef4d6ef8545d3a0e5ef955295,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
2a8a3ec0cc158975dc0846a8a009a36f27a8de0f588acf0f6958491f47cd9339,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
3b8476d9ff106d16f40bd3e22ce43f47e9428ff205fdc623bb0cba9f6386a260,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
c1ed8c2bf0d958edae17f776fb514771cd7d3b7be81217a771256d3bf647743c,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
22eab5257f9adfbba42b5bbc39f71325cf3f6c39fa9f9f08c61092d7a46d21dd,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
9c29f76e1a586cd85cb03df02569aa5f7779bea1b0cdb88ea25cdc57f636c6f4,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
b73687034644a64a78abc383a331e75e9759346681db7f44b1853880b381d138,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
4d1e20581f3d23b2e7b603b0aeb54d474ecf22a91d215f15ae35938a6f8fd41b,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
aa54a52464cfada1a31abe424193a7c1c84bc490d5a85c86b904c0039823e304,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
6eead1db00b06f5652abd399ab6de147194e9cf5c4046b6bb2796bf0583641eb,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
f5d715ede83fe1b4cdc2ae1b28a2f12e179ea1b2c72ed8f777c2e61e80f1dfe8,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
8f000289435e496ab007fb5b9ad5314a624f2831b1240cabd5da57f88b6e3b9d,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
95f313a71cc5a7e12f709eea672e2a90da2ccce2c2f9e82015414d5962574a6c,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
d537d33fbdbc4b9fbd72ec173c43ee50f529803463dcbc2c7f1a5d793b969588,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
161e1a23bd9d4afe14a708314b2294b22c89d86d320012c447f743dbff92118e,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
469b224ab1e731216f25992d655d42e0c6232723fa865b7f2516af23979c188b,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
2c1dfb5ba1a06bfda6e77cf6de66bde0a856176e0236051fd1c16c51bea5cc1d,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
ef4c10b56f67e96fa08947d49e514168f58d5bc05afe81d7073bacd79e14e0de,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
c88d9a5366885819ade8bbe2e3d5b140dd3827bf4e472ec789dbbd7bb961e9aa,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
343806a4f346d860dfedbd21789073c059841acea865b9ffdbeaac8cd76e2485,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
829369266439d7ce44b74663636d4eb26d15d8a0550e0a7696192e6d6702a67a,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
42abeccef6a3635fe7d8ce5e347a7b2ed6981d14faff381dae5d23fc831f8309,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
8eb0089a5fa109677ec76418b25c0af2eb46d7d44d4d56264aad3a4b317e512f,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
cd46e5ed7763adb96f2037c04328c9169b4cd9d3fc86deba26aba6c559fd605f,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
0a303d54b21a64065a230463b485be54c80be648d25f36535ad8fa59726c5dd0,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
4e0117ce3e42234a6865d00567150347631dce9183133f6a0246d13b1bba2fef,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
9a4cd64651683e37992e0a648d0b618176245b36a9d59f80c99e8af16a69d565,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
57dca0db4794764e25f4769b5e672f35b77e110ae6816cf588483b92ee97e1c8,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
b740ae53ec0d7e290ef2ca79237bc44a94d35818b460adf823e81f7ec0cf6b17,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
4cffe06f9c7795987e9feef64c2d4df970f74944eaa9f1e0a09b5a4dacf793d7,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
ae77852566c5b5db2c72c048798a63a337cda86c39ac4e167a5d16864c03c96e,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
7961942b31e4f7e3b98e806af6c636ce1ff7290180f2341476f97b1f69336e9a,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
0f7782fdf835c08814659d82d659ded404000d9461bb61dcc07a4223e73a94a1,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
9afb26db69023dee2e2d814fc569b335f9551c90282a58c4737de2cec901816c,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
5a3b9f905a4793967447519e0243a2b10abf7e656f46b2c116243ea59041b0e3,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
326dc05c854bc292757c0234b1216b28beb21ad0bf3fc35385d85616d9a9ee06,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
298437e4ff73aea93ab3d88b48434632b86f6e43caa3f480fd4ee5028d908e74,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
2a8eea1e0fc89a47234422d1df736562b65db8c697a6d40b6ed1efb11a13417b,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
38bfef1447f409374e563702048bf34a051a5e7a5742a3043ade11b7d92841ed,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
eb9641b112adae4d0e511e06583688682da534811ac0466960d011c681a18e98,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
913c921113a2fe2ef56403838d92a1812001ef739d7e2b6dd486be51e636c312,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
c24825d36b1b77df5f7e3f60c30c51af585d36b3fb5e50daf1c39a83fa7845b2,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
f38bd17d572cdaa550e862d7a87f1a77cd6d1dc2aecddaa6117baae801cd7e81,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
384ec4ffe4b404e2cc586ffaaba2c3bb3f7e154948b7948e59492d6b79002ca3,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
d7de3863031aff8ba32a4c8175c5cf0d1d2d121f18f9afb4ddeaf53549b7298e,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
f8fda463d9dc03d5631defeee7e9bb76fa3634cd37754109edc52c41f9fdac63,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
80d29b40692db0316978ba8ba1810cf3e742d04cfdd39f8121c4e25d17f9644a,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
4ccb375365b8db50743259c36c14de7867f565f4ecc19421cc5246b43efb1c22,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
61bd26e1305cf6ef3f8094e03aa81b7f5c420df8c2da35ea3e001cac363f5cb4,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
99434683a981eeee1bdaad4eb90b0fa131353b501ad68ba4d82152b6534290be,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
b9c7b4753ea100d1f3465d3242eefe424929acb8e0baa2c6f30d4bb0b4def365,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
a27ef558f984e150a27b2c9466cc489385828f20769cb3b421f546f0137842ca,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
cfb22eb488bc5d6bd6045ec1cd04f3c67da69c46f8d7b5ee042fc505a095dd7e,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
c24198644f647b60c05153491d9791b44833296f0940ff07f9ff82c315765016,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
379726fe7e3e7d126d72906a36617680bb9ea9ef890db40fdde48216fa04e345,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
36188738ac47606cb33b33b344ed3defe848644be124ccfb2ff62c7fd3d18fd4,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
16a66260121332ae63f486a67ba20e0a1babe0ebfa8d47c3113bfdeb36eee68f,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
ddee0d4296a1468606edb1aa4df6ae94253d42585f17a88a7d0eacf274383707,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
ee4710f33bc83906edf3360fe529836560c1e0f924d97d413d62f9e68d4ab9bf,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
75741e7c151dc0d68d96e971921be875415e36f1c16d95e93a23f0b0b6c6ab10,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
2f58fdbf9f6e6ec6941fa479da154c1eeb3e088a95441fcfe6691ff5ce67d8a1,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
7333ed7c49f5aeeba894abfdc9df5cc22e33f8c0f5075073a3ee82ab2031df9b,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
5fc71588db5b2c3be81fc4cf70bf9b5f494d6faa77155a1e19d6caeb9e1e27df,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
d99bac5fac28924ae6ec1dd0ab1a97b339aab9d6070bae0fc2c71709dc56a2bb,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
c16671046afdb2eae686dfe57040c08864b97b925f063b359336859045e66cd2,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
0fb62a9a2119240d4e66fd66fb8bfb042d12217ec2e5f6298957beafc756cc87,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
27e17d016a55105daf7b6a94a252968a3891131a7bec06d085e3d7e3263b21e2,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
1e3b0365ca6f23b1f5b9a5bfdb24026fd23b9442ec02ba5248b4b39cfa9a6b0a,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
e707aeaa8e560768583e6ca3b0dc624aff87c07f6a193f79ab50d5254524544e,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
18d6cdd1556ae85111e2a2f04ca065b7be0cb57ff9c899922101e027b217f398,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
3123de3f36782d2146d6d4c79a5403259be2d408020ee1a1aab8e1d4ac32edcc,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
41cdd46b85e687aae1221927f618636d783a15066b15e032137d5e14f343ab1c,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
dc9e9c95d342bb05077bd1849b49d457333708284b346d0be997297962c1df18,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
56a775f8b32a7b6f8d05b05be21e3bf4c417e5349b6999d0f3dac856083b1d28,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
53aa6d8a5f85fa41ae4f76d211015aa17e18bf4c1096e5b36b4c47a4bf1a28f1,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
159ccf4aa03c4eb4c5cda9ea37ed3a771e64b289e9882cc99ba9fad93d01aadb,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
61ca74cb870f4453c8b4d6089029a87582eadfaa815035d0f780f8632088a407,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
a7a8a735eb990d3d39dd35f47e2696b80a012b6cef0d540f58d7236482b58a34,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
d40a35ccbfd7d1e4fa3bb479f90b4ae3bfebe3f98b2fc1328596cb7acf8981d2,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
af4fada27cad284aa14af0b0b422b0b3b154f1883bc91fd5b0ceb6fc0d617fce,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
bfbe98b20f29badfb499fbd5db1a6231a3ec2a728659d0aec6c461242d42dd07,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
2dbe8fb863f684b8266f32648472bae6f86f02612260e10aef4bdc5d40eb34db,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
42d41bcd2f92e32d616aa73b2e3054765576683252fd1814ff167ab9dabd8d90,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
456aa48729e9472d65558f77b08d4f30c4ece7b4b3ea46ac243727fb67822016,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
fdd91568bd90ac3a6d6f3b623b4abe15fec63ea379e3fcf1e8bf6cf730c1e231,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
f7db5c6cf4bfc952f2d08de8c92a3d43af8304e2d1a9f5fcf7711edc56a6d14e,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
4cd93105c4ecc97fdb56e99ec7b018f7d09eeabb08c6298de3fcb8b13e0cf4b4,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
b4b4c8b1469ca45d7a32be953d66133e1ea48d514394cdbb4d45ed37cb13b2da,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
470409ba3dbf0cd8a83f24de5d76d368c37880cc1a4ade09898a48ce9df2670d,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
53985f67384e1d165811b4d39317899396c05415e5ab62136214149acd0d239b,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
d2668801c0d4b0b079506fecf161810618dc1f03f802fe9c3d4bb4a4f27af093,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
bfb9148c6cb22487837acec31c4a28f4000c457317c3e0548616859d012a0a8e,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
f6337e7489c280de64649fceecb85f5528d633acb1ec845638986f197c854fff,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
91295685cfe354cb0fa6c84879919d5b03e8d7bda16e730a0258319aea6e3a3b,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
c54cf556ade01cb9fdb18478d7550a8a02bf7d664ec5a892040d012765e84057,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
297ee2dc90a6c382a145c5228750022254d079322e32cdd70f5383141fc842ef,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
25ec0191e908231c00ea68c97bec9ce3aa62abe570ce10eb8a7f158d894ef874,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
5cc54bcfd7369859d565526c9f9c592fe71c3d35cdd77666b921d70a69fe7950,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
a8ba7f38046157404bb15dea5f03d212acffc5563ac3ab2ba1a0e865399d3873,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
6c89e2c26fd8df722e8bf251618379c0cedcd64a518a35b2450ac4a7d829b305,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
8fbee39216cf7da08a45395c63fdfd8e7b327697b04747743e31898598a24b8c,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
68cebee54d84860f86ad8ee0744be139006bc0d5c6108d394a1d475f964ffe69,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
f7d53f4d8fd81d2fa1b1eaa3aba2881292d6fa070a61c421c87bdc1de18a6552,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
61ed3d5c37cb2b6444c73862f94e51191d08d39194131fd4fcb4069024490cff,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
0cb0599578fcdeab705f5f5e372e32c6947f3c0b2b8b1d0213a9374a818dc303,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
25162c8acfa7e7c5f4f7e9c4820f39cb606999cd0a9bd756384d46b390fee432,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
462a933088f266a5612c5182d8e84aa0aac6fc9ba4af7cb05a117e16c44808c9,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
9beeb4699c9f81ce5276a15754c416be2ae0ea42d775ea282261286dafabf6f3,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
e4968c57ac0c66a59a31705b78109ae84a1fb1ab4907b3473955e9c4ff456998,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
25162c8acfa7e7c5f4f7e9c4820f39cb606999cd0a9bd756384d46b390fee432,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
d087c7341094028443a08bb764415c12794b09bc36f0ceb85663f6196280a35a,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
575a161a70614199217b2257d9cd9ed06a9545b3e7d5d632ac3409ec6c6905ef,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
78c075bb1864f04f2e4988ed9f902c36d0dd374b902c58ca0bdd7ed32b7aca3a,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
d61e2b4ce9a728bc893b32a171eb4b23f736310637884321bc873ad77dd164e5,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
49a898f8c48e01c4330368a2f5d5cdcc916a7204c88b6ea46ed0fc2553f936cb,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
7d113a5155ab1ae5ed29ed366f2c9df44470a4107c5fe59d1fc4c9f031a2516e,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
8a21c31577275313dbc536ed5310cd1cf597e2bbb93e73740d44afc74a60da62,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
132559bcee18ebcbfa220a8f2fa22bb1242c95ab6d9d78b8e17737e0daebd5d6,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
e01f0d55ec366a91700384942ee9fed65d5c4fc6389439cc4d578c9a8955c7c9,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
92f6df02239999f18f37e01ea4ff015a636b69767df432feb5d555cc07e18dd3,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
846b6af5f8ca18a3a0422fb7bdc7e56fb07327d3c83450183737ec46a5482252,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
5e508005892f24b305060cce118a18969acc32ed3a3a332847135c9d15399dcd,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
664b92abe596ed648fca83d2c0e1b72cd645bcbba743069b7bedf10ec43e3608,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
dc8403d8cfb15df3d028bdc3eebf5264a659e879cde224d98aa666668e7f71b9,2016-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
fbeb56c3f64dd593ab27371a47eeef35e01946020f2dd38201e03bfc3cde5959,2016-03,South Yorkshire Police,South Yorkshire Police,-1.206958,53.369749,On or near NEW STREET,E01007790,Rotherham 029E,Suspect charged
7a0f8d9fc139f05685b7813a02b13799ddf9a2918e2cc1aea083c6e5d6ba668c,2016-03,South Yorkshire Police,South Yorkshire Police,-1.327996,53.463929,On or near WALKER VIEW,E01007774,Rotherham 006D,Suspect charged
