Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
38e801895a5973ddffb4346b783186dad0c418518b724be614c2973e871a767f,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given a caution
fc18cf2d5452715ec8dc793be142d24c1cf8913d1455e2166a78ae95df615812,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given a caution
a69e4bbf0d0a32dc4173655b81a3278c4e59716fcd9d41a40c8c48ec5214de0c,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given a caution
889d1006d5d32b6e6e58cccfca1ad2bd87feb9dd75ba6daf65dc1f15f21ab799,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given penalty notice
53e0b2e05000f978b8074ef975e77f3cf77b489fb056fad69d526e9889ea72e5,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given penalty notice
9d370d922fc5c7dbdfaafc4424ee0b4b5c520bf4fd0845e1b10e8491a9004faf,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged as part of another case
df31035b36ecff3e13bd7654222b1c7562b1ceaf190a2cf3fbd542b6e4f8fddc,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
380fa18a5e06dd62b05cdb50e5b46f8b722bcb0b7242ab1588e33fba066918da,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given a drugs possession warning
28a303df1a10fc16e49de92517d6dd70fed8a07a9f8c127a3461a41b87fe7c7c,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
4dab6387e809efd0465763660bb235229ac0fa7486d73e257f5ffb1b6e51439e,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
ffce2feca538c9861778d088fde3bde62ba6dc07dcdb396e1cd3e5449e8a47e1,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
c45fa9ae8cb95238a661390904904a590d02481401f28f3e7ef3e087ee5ac786,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
36d9d3acabcee6f01353098feacd0355e4933bc192e2073afa78bc031f118a81,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Formal action is not in the public interest
d1f1e73d37c5c96ec91498785ada929731f427abc7bb3ba40fbd50d92ec6a0b7,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
e76cbb0e4d09e6cd746d16a8a9528a6bb6eaec91ea020bda5c8720247936caed,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
7adf5b40c53cc290ee304bdb87b179036c211e4bc306f703d0eb484b94cc1a38,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
29476673ca03f0c2fed75d9e9d490148d04c200741616d935b1a6372fe8ca08d,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
b9a1960698ca8ea5f52001925a005c1174bfbb796c61a9a82b2e326e2918786c,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
67d8ebf864a843cbe4b48cda785e978f33510b757162fe198c81b4b56c52a51f,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
8e46a244296ff513f308ba809a9c3ac96f4adb933f000b1a116b27f6c227f21d,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
9060cbe14087152a3164ca9c33272d1eb5f8579ac9805886510fb20442fe91f9,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
2b62024918f67bc86821c7518902a830a09d8a5f175d963302c42bab93d0c2a3,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
94fa0ae7866c2d6cd270a16ead3779621db156e5435738096c41dd811758f003,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
85cca268cb4d6a1598d449b9818d55cfe74925f77659f52cef4ede7d1fd57891,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
af975ee50856147c472fd1d2d6f6cabe19416674601a3eb3593d0134ee864efc,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
4b622f726a446fa76a6d5aeb2ca3431b9e72b49d2dd739f921c3cfa9bdd31051,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
abf8b52040b08158ed41c9bd363c478ff904c0f257fb5f3d43011883c507f98c,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
973e277d6eedaacd2d8d041f76acdc8b33e7d90f68ecacbc338d967effaec07e,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
c4c9b896cc693f155df01d8fe3980ba663305f5e915b080e2b0689e2535ad104,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
c5e7481d06ca2ebb5bbef56754933a0a7a97e57dca1ca97e9b84db0c088213f9,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
048eaa5d543090795d19a19f0497a6e3898a1261e819967acf150a390b0f454d,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
fbef18d68b051da9a5554c599a254f0ea564e3c5bcceacb6e46911a309062ddd,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
642658356583d6720b2e5ed6bf261bef822e3b1a9effa5c82083216105ede1c7,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
aa913ce7bcd4162787837ba0da73a7f93676f65265aeed8ed613f51f8fa1c2d1,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
278019a0c3cd33fb9577ff00df4d4876a44409a34e0ca742249983640bcfca30,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
adb44040b4f5693bb04ec28cdf7a19e55afa41e757918fdc4c1f1386b823b217,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
5191b5dc9b45749e4e6151419358c665de28ce10bdce9a999d609d6f4b0cc22b,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
d78b7746c21001f9ec4568a0515d897bfb048e662ed0d7abae48f95a12f0422a,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
18b040ab0ab2c954ddb113bc8063b77181b28cf740a9687c77a31a563ba6e231,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
158a7e9c1a4f423ab6456cd3dda255351c779556375bd9b9963941cdba736e82,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
bc2f507ac3ee55228621286d0d17767f17b2c78e71914e163bb73d407004426c,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
29c6cb6564794b0b2b6de7a0841f71921a4411baee4df24837b15aa003841d09,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
b5c17c5f1c6bcead2b152c7febcc5decee99fda45645183bdd3ec9a5d8ee879b,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
18233bb03748e5b7393fe7332fc48ced818b66e7c71d1436becfe0a617bedad8,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
c19fecf0168832476841939770814ac337f2ab34ee13247f9ccf8805e641ffa3,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
5a469c5fa5c66ad6551bec223349ca1bd3f24126e53bdc94f60e7c90a427de52,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
f20804442722277836fbd669e12778311ba48c39355e7647ef83e38b8d719c33,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
dbb4b14362005fe1fcae70a7c857d188ce0dc6dc49d32907081017d51d2ffe6d,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
7cb3091ff9c5b186ccb8fde5e880b805cf8a957ba9498e85638fd33c8198888f,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
1d9d7f53b6605b00610fd766b3d54e09c968b40eaf9b6332b932c58cdb2c04ab,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
162ac7dc53d05bb239ee6b4cfaabfbb86efcb4d89051f4da9ba16ec305c98b8b,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
102a7e8621fedfabdfca680f9b175f190ca9c816c61f8af0d9dbe4381f7489e8,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
798f9cf0f0a2d8f8dbff7b66796096c327cd33fe82a35cf9184e539052d6d193,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
d6881bcf6909a35d82c0e3e84e688128b241b04bfe9786a0d80d17d29e1846dc,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
bcfc1d6ac6f100847b521d39b9e03169fdab28e6e89b005166c5cf9c1ec37038,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
e942505eb012e395bca988ec134f70f1880d84a04b0baff1d00a374d2f6327b7,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
17246d8fef7ad55954fdb6c1b898765e1791769b2f5f481b4bd64c363b224db2,2016-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
