Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2b2dbf76481283a38c46732f1ad3c259ff2b6f27cf6515a624bfc55bb1cbb937,2015-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
e3411c5d16cb9b99e79ce52fa0ab5c7e8d75715e37baf7c0da0f9ff4837cfd1f,2015-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
ebc5162f69a7445dab76d07f95fd6acde974b238786815c490bd7fb0804c4ee5,2015-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
4923d7dfd177bd4c451155a5d584331652fb1f526b7133a4633c9fc53fc3f9e2,2015-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
52eda09a531f8bea664a4ae67c53ac4325bf31240c97b9b122d37223926a3903,2015-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
e8121b40cabc84aa6e0b3ae881b8919a59fabde0ebf74edbac2d3e964a487948,2015-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
16c00ecd5e68fdb338abf60d2c578265f89ee2ce9e5e5b1f3a4dcb69ff284114,2015-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
cf9a8aac1f8f45256c25571b12858811997e1d64ae48e5388f78c716b237570c,2015-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
c14817689b000d4f327929927ff4d2b90535042381ceed16b79ee9ccb0137843,2015-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
225978e60ee9d15dc7b92a4ae3a171cf7b02da1a6791c96d9e3177518f6dc0da,2015-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
ea357445153c32be1789c8b9c965537f688df002dc628e57648d52d31b3623b4,2015-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
3a1a23ce87768ae57c6a9223351816ff22c7b75a369a07060be15bad0c1dfe34,2015-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
520df9141c9e96592b761eeb581a56ef7a0ecb5bd4cf7c148cdaddb5adbcac93,2015-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
0186aad3f321d26a3fa484af793577ba7acd1583a384a7f3a4023c02deeaf555,2015-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
58221e230554c09e729bb34fb3f5896a4f6b33a2d23ae39bef19747d07bf90b9,2015-11,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
