Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2d0af0d7c8b71d0545d21c017dbdd9d16a6bbc79325585805007e9f58f6ce86c,2015-08,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
60d02da0050b34e15e9d577a202ebc6fde9432010dc23308ec0dd81004175be3,2015-08,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
ceccc7ac2367e55f6e1a3d7f74fd08fe56f659eadd73f0996287d3d6bd6b133b,2015-08,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
dc4add630dc4ecc91f2d58c5ed043705d46cf533760aa2f6e0b26057dd1bc833,2015-08,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
29c9a3a1552e23371cd6db1c1daab295b3daa7bd836752eb3f814146555dbc0d,2015-08,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
60d89a73c3e905afa0291158e13bfe5a14140477306097f8360ed02078720a5a,2015-08,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
77a8430aba73b444e957b459e81e6b4528ad561022d89e2dea9cc956b7971045,2015-08,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
7a223c37775e614b39ccf5e808fe4902fb8ab200a2b744f6d76d18d2a0e3a685,2015-08,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
4166f52e4755a05a1da1cecb196729f7d29f345b2a5b1d710a4d435e38f06deb,2015-08,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
50874c33654aa69b15962e37c19836486ed043e11ddae14735768e22c5f80d6c,2015-08,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
55484d70864adce52dfc57ea7b833b083a43e456d05985af0d7c8ff509a1f48c,2015-08,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
