Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4d8546078627a8f880da156becc1c0debd61b9fc994bd9682388cea93938e045,2015-10,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given a caution
6ee9fdbaba1e9dbe89d7e9f958ae7b5fd9de7373d5fee9e54ad52341f50bc9b5,2015-10,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
f6605d37c44dc30dabec784d798019a59e8fcdf99912dd400fb1629de4944dac,2015-10,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
ea548160a6ea6b4c9b1fa4f7a88058b46238c09031dcbd556c4420c236e8fd66,2015-10,South Yorkshire Police,South Yorkshire Police,-1.451231,53.499542,On or near VERNON STREET,E01007390,Barnsley 030B,Local resolution
8993ab4eca5f50a852019521358413927fd7495a4dc1f16a8837ff2daa321301,2015-10,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
f928bebcd64d46c30c835d70db1dd2ac1d13d05a8883a7ef367e02c193391c74,2015-10,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
1fa8d6351bb1e8d41f1a93c762be68dd0492c712d9492489d08163c96e398c88,2015-10,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
7d8a4075dada869988d6aa6907ae817c8e1261a53da6ee4a16ff8dd12cd90295,2015-10,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
456739757a9ed983d635ad2e6d5b99ac34e1456dff7868f028539b7c8f5fc80b,2015-10,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
a0c836a9857235193f22038a00f658dec08948b8596fa7c11a77240e994b8dc4,2015-10,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
f60a3c9b39e9d5cf3b415091250bbad269f8ac3755f202ae786919b005e9a4fb,2015-10,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
1f6318b8f52fd8093a7121b1be811c7f04b9b01cc06455a10eceb813cd06ec08,2015-10,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
f223be0f3a9523e878e0b2a34dbc8abb5a21ad28f3ef019613760cc8ff4d24cf,2015-10,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
38aaf41d5473ffd78a2f03721e5d3ef46e03b33dbfad3d334e5dba3b2e24f876,2015-10,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
8482c502d7c3644c2a1867795312578e77626905c73e92839d700e1c1132ede6,2015-10,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
dbcfef9df11a4f5c97ba8f212f921c65dd558527d90de4347678bde51950d72d,2015-10,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
