Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b9ba3ba0f1f59a42cb938bfe247ad4e8670fa545f63c812527b241f725cb4295,2016-07,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given a drugs possession warning
1551108df87d5bf05b7026c74c68a9ed1b2b2ccf3207f8c36284f41d2eade6f9,2016-07,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given a drugs possession warning
00ec1d71f895c73cec05ce455dcaaf67e8fd6af40ed749d434403d707b582b5c,2016-07,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
b813be547347b91afa03e3a4507ce9b203490dcb47b6aedd6a2a672e872fdf28,2016-07,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
da7bde8aa78f5990dd5e4cc7de3466d4df9fc383aa33705d84108637c894afa7,2016-07,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
065abce8486b761ebbf8faeaec9fc5bca124d00bb9a498ffa029556d2ef577a5,2016-07,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
80501fce1d8de25924a6ba739034ca2f974d8dc418cf614c4593483aa80ffcd9,2016-07,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
dd322956d383b527a5b42d9a3e39299fe1b7e9971890e49c9c487bb03bb7dc3c,2016-07,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
4386cab609227afefbff855ba5a3ae315e3311abe491f156d4bf882d4d6ffda4,2016-07,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
6cb8fd0516bd1d2c1c03721f6519e9962bc1000cbfb5486d4e5d30c603b6d171,2016-07,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
d98299d482c44e5188e931e9750c0b08b3c2bd72cb056af9d82f27b761e7e850,2016-07,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
47774142e6a394881546d05c324fadcfb114fa232d08f5121265aba0c141097f,2016-07,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
c08746c00a21c4a5dd78fb3cc01092e7980bcb5ed7625fb204fa7e73de64c6e3,2016-07,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
64870165f31c75c561010055f066843ff5f52abb240fbd7ad7c4484c88ee4e84,2016-07,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
d59668853048d8427ebb446b2c6d755199e941bf742dc77113e9db9403a3491f,2016-07,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
e3d649a7141e83809acdfbd8d816149aac3dc550401e06e18cd96bf5b29b8df3,2016-07,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
8e6bf7b95199d023b18e4ec48f2eddeff320b818286d362e983d80b6d6802947,2016-07,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
c018dd858ec8cc0ae4b109ff18b54e91737b978bcc4467c6539a031a080f8f99,2016-07,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
70f11e8a75a03cf049d45834416f6c89d5bec96e1aa1db664b313f890326a26b,2016-07,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
32e7584a0d47db27b0c3072c78a1767bd3b34a2be63584b8165d321c89a565ed,2016-07,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
8a4700f977de4fd8ad88410eb30b66f376d0eb228689b125760f4cc3f9f6b09d,2016-07,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
