Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a81e0a413c16a997710d3dc9b4470c8bcbddf057eed4938eb58b0be57a8747bc,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given suspended prison sentence
7ce94e5cd9f58902aeff37f4e21bea77b589eceb5fb48cf27a8cffc99495b65b,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Defendant found not guilty
aeab8917268cf80347d357e055da3aac676b2633dd7a75c0ecd10610ff53e64f,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given community sentence
7348e85fec421908e90dbd155e6eb537e1260c626bc3c32079bb0ec153981b28,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender sent to prison
2ce4e69f178679278cba270f5b8b67281aa9625091082a0a4926496d97236106,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given community sentence
cdab42528832d0dd732a954c33a0550b58d4c0995d020b8e0ee9c0d68438c2ca,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given community sentence
5c428882b3ee8ea83c5a042c103d5d300d671aadeef584e72d6031f037e2d0d1,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender otherwise dealt with
4711d3f2778dc6aaaed4705ebfff82cc1402344183f0176c7086a7ccdaeff7b1,2016-09,South Yorkshire Police,South Yorkshire Police,-1.506048,53.388808,On or near NORTHFIELD ROAD,E01008074,Sheffield 028D,Investigation complete; no suspect identified
6b63685fa8a13086f32e7bf9e973f03a12e91c5b7eae9fde8798b797ec4f1d9b,2016-09,South Yorkshire Police,South Yorkshire Police,-1.453264,53.407032,On or near BLYDE ROAD,E01007942,Sheffield 020D,Investigation complete; no suspect identified
0ac58ba3372e824605bc9b2d4be636682b2d6d1981b480cd145e58c1da63b8d3,2016-09,South Yorkshire Police,South Yorkshire Police,-1.414397,53.401311,On or near Parking Area,E01007904,Sheffield 018B,Investigation complete; no suspect identified
76430a531df4e36a94da65940bd17e474bc8de00b6bce86cbddf71736faeacab,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
12f630577d70506bf7cf8ffeef1c061a213a13ea07662e7d484cacbbc31afc40,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
f1033e96bdebb2d7c32e19947a67ee3aabd15d807432e7f4f90fe871ce75e58e,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
16f4ddfb915a6019572a4f38fcedaac07647449e35f39c0bed9d045a07d43b1e,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
fa367ba12dbe1d6c78744f51b9b6395a171664a6a98ff4ce2cd65bc14b110aed,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
ef8175e64df41c8fabe1afb62c511c686d6073cc1c5a404478e3202e941c16c9,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
f75611a472049c1267b6f6f998ae126d109d368fd21c808e0e87e9426b17fee4,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
5d37bf0e037a4659bed48031f14c7599d6c46e6174a1bcd0b1a857a24b27ec2c,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
e16dcc31c2bd89bcbc96e8588428753c036283b3bb38acc73ac25e5ea0af9fc4,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
d998ba3fceacaee4e833b5298b7fe71d0c2c41d0a101f9b9e34bea805ea276a8,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
c32e36ed5217ed9f61ed439ae8e0b6104781b57f7e58183bd063456b8f1f4a9e,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
86be24ec40668866544027374be40ebece9800f0efb266d1cdc3e41cfc1d6e6a,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
d654ebe5fc79781222170410117007aded17e0f86b8516b31aaa3121f23785c6,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
86d5bd1e2a4cc8632338be5bab09fd3036d376b712c3951f0607fa70bf74bf2c,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
21a0cdbf8b83fde589536c5cb12120d025ef20ac10a46999c4202c1218a9a5ca,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
f95e00916cd07e8feb63c6e2477a0530e21dd856d28b0d0cd53f73509fc58b5c,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
62283b29d4d24b1f9b879607401111b489d0012ce6da0d3b2823d4fdc92a72f4,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
8d8e5b1898a3673040bacc59bfe98e24a18e045172b4014d8bba969b6898645a,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
327c821fdd017597b6a0b5cb59be1bfe8dfbe08858911da83c6f9aa5cd3dd03d,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
b0816770da8c0a70a0d4d0d88434af1c323c011a49165fc4358b2316fb01a079,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
1b76fc3920905695db1ddd1c4780a680b8901df7b4754f49e19cb39882346e14,2016-09,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
