Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5d0330f014e4edbe14686a953f81b8137f5d2a5826b8c29737c753b54605148b,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given community sentence
19f8db5cd763c03d0f003be40072424645541c3c0cfaaebf2d4437783fa3cfdd,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender sent to prison
efec20b6c070a167fcc6fb00c6dc730d6fc114c9dc2795784c28800599bbd29e,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given conditional discharge
11ab44ff18cfad9120c7ef2b74c803c15f9c9b9b8a16abb5895033699340fa85,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender sent to prison
200d1cff61fae5a7557359c275c67c9cb488ca11c211cb274d30e462bf097a50,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender sent to prison
c77ca057c10ad46e6b665b404a4ac6353139db5dbaf924abbf34ce389a4e253a,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged as part of another case
20e435910ec9db2eb9f934e1042ff87edc4410b1f464a8b47343c89e0ab36c38,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
967d2d797d5de57737194976e4b766063ab729a456b0f805b3d99f28114733c2,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
e90db8536a1c9a05a15798f3d33c798b27ca12ee4d89385ce50a0f5a32b1c126,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
c204dba02f666d2e0f0153c66ec5f852f5122d5cce1f5d39bcdd735ecccc5b63,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
1740b5bcd0d7a3cca77137f826bec395a80650bd6365f788e11f2bcc7b789ebd,2016-12,South Yorkshire Police,South Yorkshire Police,-1.456406,53.532185,On or near JAMES STREET,E01007458,Barnsley 021A,Unable to prosecute suspect
09a75cdf4c06c07ef95f9454d307a55906232ebf35f2b9897688a070e035bf54,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
2ad2100fc1da76659c0b0bc138917cc04c3fb7332b1f8cd4f96672563a2f6598,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
23e3115915368c86e45199c632e97cd65789437a02d47ca7c4fd53d3f8596670,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
9299a3b8dcfcd56dd3c0faeaa81afcc584d76fa7051c16655ea2b57360850043,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
06afba6cb86aef99230b8ba605049b1bf90d9561a3a83d8b132ecde2b0e29c43,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
1bb9b13826057f6c9ea494abd9fdaa47f6f4bdf8f8e0212929559a97937b2693,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
20c028616aa1bd6154657b38997807053b8e90037056f9ea77adb551c1fcfb82,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
edf4fe7e581a9d9f0578d4fc546954ea7afbffa509e51402b3f1b9350287608f,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
289b6fdfad55cbf731ada9bf0e6e70b85d1e874af59d8a8115cf1fb76159896b,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
9cef330138ebca48042e4571b438aaa9d590116e32a340ba6c2fc8572fc50535,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
fe119d5e123926f58a4ebff43910d491ad327546b75e0793b7da4487f70e3be7,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
de1558e84e96b7eddb56900556d87ddfdc61b3fb77c35b30b2fca92d2b492397,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
4de9e87c9e7ffbaad67bd856d5bf3cc62998e42b6912f83ccba8a23c2bf72d15,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
c3da8d3fa879e1c31e6daccfbba0a3cd21e0730b75e7e7c1d0e09a986dc56ad7,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
1264e63c25a408c13418515e1a2c23f9ba1ecca0be9be45b446a043c01d9f918,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
0e2e0b253c74ddf6d2d0dbd18e5e19e9195482f611f275f2846c86eba018c102,2016-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
